,Name,City,State,PhoneNumber,Rating,Price
153,Allen Ray Salon,Minneapolis,MN,16122080273.0,5.0,$$
154,Kai Salon & Spa,Minneapolis,MN,16122081330.0,4.0,$$
155,Circle H Barber Shop,Minneapolis,MN,16122056555.0,4.5,$$
156,Floyd's 99 Barbershop,Minneapolis,MN,16128222240.0,3.5,$$
157,Roosters Men's Grooming Center,Saint Louis Park,MN,19528562721.0,4.5,$$
158,Dick's Sports Barbers,Minneapolis,MN,19529266924.0,5.0,$$
159,Greg Zrust St. Pauls “5 Star” Master Barber,Saint  Paul,MN,16512850808.0,5.0,$$
160,Barbers On Bryant,Minneapolis,MN,16122031880.0,4.0,$$
161,Hifi Hair and Records,Minneapolis,MN,16124865900.0,5.0,$$
162,Grain Exchange Barber Shop,Minneapolis,MN,16123337426.0,5.0,$$
163,Benny’s Grooming Lounge,Saint Louis Park,MN,16513251736.0,5.0,$$
164,Jesse's Barber Shop,Hopkins,MN,19529339988.0,5.0,$$
165,Groveland Barber Shop,Saint Paul,MN,16516996026.0,5.0,$$
166,Dave's Barber Shop,Crystal,MN,17635355723.0,5.0,$$
167,The Art of Shaving,Bloomington ,MN,19528541441.0,4.0,$$$
168,Bespoke Hair Artisans,Edina,MN,19522244062.0,4.5,$$$
169,All Pro Sports Barbershop,Minnetonka,MN,19525450075.0,2.0,$$$
170,Sport Clips Haircuts of Bloomington - Southtown,Bloomington,MN,19528813442.0,2.5,$$$
171,Sport Clips Haircuts of Shoreview,Shoreview,MN,16513487898.0,3.0,$$$
172,Progressions Salon,Bloomington,MN,19528519999.0,4.0,$$$
173,Creative Hair Design Wig Boutique,Roseville,MN,16516970030.0,2.5,$$$
174,Fresh Cuts Barber Shop,Minneapolis,MN,16128247583.0,4.0,$$$$
175,Cope's Barber Shop,Minneapolis,MN,17635710808.0,5.0,$$$$
176,Uppercuts Round 2 Barbershop,Minneapolis,MN,16128272699.0,1.0,$$$$
177,Cole's Salon For You,Saint Paul,MN,16514541390.0,1.0,$$$$
178,Precision Hair Cutters,Cullman,AL,12567395480.0,4.0,$
179,Bullfeathers,Madison,AL,12565423233.0,4.5,$
180,Allstar Barber,Huntsville,AL,12567158415.0,4.5,$
181,Classic Barber Shop,Decatur,AL,12563510995.0,5.0,$
183,Danny's Barber Shop,Attalla,AL,12565389527.0,4.0,$
184,Mike's Westside Barber Shop,Huntsville,AL,12562032905.0,5.0,$
187,Razor's Edge,Athens,AL,12562329815.0,5.0,$
188,Curt's Barber Shop,Huntsville,AL,12565362901.0,5.0,$
189,Yi's Barber Shop,Huntsville,AL,12568309554.0,4.5,$
191,Lisa's Barber Shop,Warrior,AL,12058377713.0,5.0,$
192,Haysland Square Barber Shop,Huntsville,AL,12568819878.0,2.5,$
193,Warden's Barber & Style Salon,Huntsville,AL,12565394247.0,4.5,$$
194,Fade Factory Barbershop,Huntsville,AL,12562269585.0,4.5,$$
195,The Fade Factory,Madison,AL,12568581500.0,4.5,$$
196,Picture Perfect Kutz,Madison,AL,12567741754.0,5.0,$$
197,Jhl & Associates Professional Haircare,Decatur,AL,12563556964.0,4.5,$$
198,Roosters Men's Grooming Center,Huntsville,AL,12564890886.0,3.5,$$
200,Cliff's Family Hair Cutters,Huntsville,AL,12568302255.0,4.5,$$
201,Wes'barber Shop,Huntsville,AL,12565333787.0,3.5,$$
202,Suki's Barber Shop,Huntsville,AL,12562139050.0,3.0,$$
204,Sport Clips Haircuts of Madison Promenade,Madison,AL,12563252121.0,4.0,$$
207,Sport Clips Haircuts of Huntsville,Huntsville,AL,12562707022.0,3.0,$$
208,Sport Clips Haircuts of Trussville,Birmingham,AL,12056553220.0,3.5,$$
209,Cuts By US,Athens,AL,12567712072.0,2.0,$$
211,Billy's Barber Shop,Huntsville,AL,12565335714.0,1.0,$$
212,Whiskers Men's Grooming,Madison,AL,12563258746.0,4.5,$$$
213,Roosters Men's Grooming Center,Huntsville,AL,12562707197.0,3.5,$$$
214,Roosevelt & Co,Huntsville,AL,12562032440.0,5.0,$$$
215,Jonny Mac's Barber Shop,Daphne,AL,12512299823.0,5.0,$
216,Old Spanish Trail Barber Shop,Daphne,AL,12516262115.0,5.0,$
217,Rat Pack Barbershop,Foley,AL,12519234851.0,5.0,$
218,Exclusive Cuts Barber Shop,Mobile,AL,12514780152.0,4.0,$
219,Al's Barbershop,Semmes,AL,12516452556.0,5.0,$
220,Optimum Cuts & Styles,Mobile,AL,12514796002.0,5.0,$
221,Wayne's Barber Shop,Gulf Shores,AL,12519687738.0,1.0,$
222,Dallas Jones Barber Shop,Fairhope,AL,12515179022.0,5.0,$$
223,The Men's Den Premier Barber Shop,Orange Beach,AL,12519819809.0,4.5,$$
224,Freshen Me Up Barbershop,Mobile,AL,12513088122.0,5.0,$$
225,Royal Barbers,Mobile,AL,12515540595.0,4.0,$$
226,Mayo's Barber Shop,Mobile,AL,12514734321.0,4.0,$$
227,Sport Clips Haircuts of Spanish Fort,Spanish Fort,AL,12516252921.0,2.5,$$
228,Eric's 5 Star Barber & Style Shop,Mobile,AL,12514472363.0,5.0,$$
229,The Beach Barber,Orange Beach,AL,12512326559.0,4.5,$$
230,Sport Clips Haircuts of Plantation Pointe,Fairhope,AL,12519290610.0,4.5,$$
231,Mike's Barber Shop,Mobile,AL,12517254255.0,1.0,$$
232,Cottage Hill Barber & Style Shop,Mobile,AL,12516662186.0,3.0,$$
233,Sport Clips Haircuts of Mobile,Mobile,AL,12516393490.0,2.5,$$
234,Sport Clips Haircuts of Festival Centre,Mobile,AL,12513410390.0,2.5,$$
235,Emory Haircutters Barber Shop,Decatur,GA,14048352419.0,5.0,$
236,Chuck Simon's Barber Shop,Decatur,GA,14046368961.0,4.5,$
237,Vista Barbershop,Atlanta,GA,14042357335.0,4.5,$
238,Great Clips,Atlanta,GA,14043771331.0,4.0,$
239,Langford's Barber Shop & Style Center,Atlanta,GA,14043780402.0,5.0,$
240,Cut Zoo,Decatur,GA,14046365380.0,3.5,$
241,Hair Salon Molasses,Atlanta,GA,14043731860.0,5.0,$
242,Maxim Barbers,Decatur,GA,14043787877.0,4.5,$$
243,Trophy Room Barber Shop,Atlanta,GA,14703551252.0,5.0,$$
244,Legacy Barber Shop,Atlanta,GA,14044061697.0,4.5,$$
245,Ms Lisa's Cuts for Kids,Decatur,GA,14049187982.0,4.5,$$
246,The Barber Shop Atlanta,Decatur,GA,14047289300.0,3.5,$$
247,Sage Hill Village Barber Shop,Atlanta,GA,14048729452.0,3.5,$$
248,Bishops Cuts / Color,Atlanta,GA,14043433807.0,4.0,$$
249,Jay Bentley,Atlanta,GA,14043041854.0,5.0,$$
250,Sport Clips Haircuts of Decatur - Suburban Plaza,Decatur,GA,16787057369.0,2.5,$$
251,Panache Hair Studio,Atlanta,GA,14048731849.0,4.0,$$
252,Mariemarie Salon,Atlanta,GA,14048499970.0,4.5,$$
253,Son of Sam Mobile Barber,Smyrna,GA,17709900096.0,4.5,$$
254,Kevin Morian,Atlanta,GA,14708918961.0,5.0,$$$
255,18|8 Fine Men's Salons - Brookhaven,Atlanta,GA,14044815368.0,4.0,$$$
256,The Art of Shaving,Atlanta ,GA,14048418665.0,4.0,$$$
257,The Damn Salon,Atlanta,GA,14048320801.0,3.5,$$$
258,Deeply Rooted,Smyrna,GA,17704362400.0,3.0,$$$
259,Synergy Suites,Atlanta,GA,16789745046.0,3.5,$$$
260,Soren Salon,Atlanta,GA,14048694247.0,4.5,$$$
261,Too Groovy Salon,Atlanta,GA,14048735300.0,3.0,$$$
262,Kylekuts,Atlanta,GA,16784693225.0,5.0,$$$$
263,U S Male Barber Shop,Carrollton,GA,17708329284.0,3.0,$$$$
264,Exquisite Barber & Beauty Salon,Smyrna,GA,17703182746.0,3.0,$$$$
265,Southern Man Barbershop,Dothan,AL,13344463027.0,3.0,$
266,Anna's Barber Shop,Enterprise,AL,13343470410.0,4.5,$
267,Trends Family Barber Shop,Enterprise,AL,13343478532.0,4.5,$
268,Chopper Barber Shop,Daleville,AL,13345984247.0,4.5,$
269,Final Touch Style Shop,Chipley,FL,18506383333.0,5.0,$
270,Lunsford's Used Beauty & Barber Equipment,Enterprise,AL,13343934608.0,3.0,$
271,Cathy's Barber Shop,Enterprise,AL,13343936286.0,2.5,$
272,Raymond's Barber & Style Shop,Troy,AL,13345662604.0,3.0,$
273,Joe Winks,Dothan,AL,13346993593.0,4.5,$$
274,Great Clips,Dothan,AL,13346717900.0,3.5,$$
275,Bass Style Shop,Defuniak Springs,FL,18508925389.0,5.0,$$
278,City Barber Shop,Pulaski,TN,19313632723.0,3.0,$
281,The Barber Shop,Independence,KS,16207791361.0,5.0,$
302,Paolo Il Taglio e L'abbronzatura,Florence,FI,39055471037.0,4.0,€
303,Marzio Parrucchiere Unisex,Florence,FI,,3.5,€
304,Barber' Shop,Florence,FI,393271093790.0,5.0,€€
305,Blues Barber Shop,Florence,FI,390559337616.0,5.0,€€
306,Rasoi Hair Jazz,Florence,FI,39055241551.0,4.5,€€
307,Corino Capelli Uomo,Florence,FI,39055214554.0,5.0,€€
308,Hairforce,Florence,FI,39055608119.0,4.5,€€
309,Spettiniamoci,Prato,PO,390574669152.0,4.0,€€
310,Vincenzo Corda,Florence,FI,39055661941.0,4.0,€€
311,M. Ciseaux di Grazzini Massimo e Rico' Antonella,Prato,PO,390574591235.0,4.0,€€
312,Sarino,Florence,FI,39055667400.0,3.5,€€
313,Parrucchiere per Uomo Germano & Stefano,Florence,FI,39055689592.0,4.0,€€
314,Parrucchiere Silvano e Massimo,Sesto Fiorentino,PO,390554207281.0,4.0,€€
315,Dimensione uomo,Scandicci,FI,39055755089.0,3.0,€€
316,Antica Tintoria 14,Florence,FI,390552260024.0,4.5,€€€
317,Jean Luis David,Florence,FI,39055368462.0,5.0,€€€
318,Silvia Studio,Florence,FI,390557321370.0,5.0,€€€
319,Gold Salon,Florence,FI,390550880300.0,5.0,€€€
323,Jones Barber Shop,Pensacola,FL,18504784110.0,4.5,$
324,Five Flags Barber Shop,Pensacola,FL,18504540000.0,3.5,$
326,John II Barber Shop,Milton,FL,18509940381.0,4.5,$
327,Cindy Smith Barbering & Style,Pensacola,FL,18502218618.0,5.0,$
330,AHW Best Barber Academy,Pensacola,FL,18506929298.0,5.0,$
331,Main Street Barbershop,Atmore,AL,12513594511.0,5.0,$
333,The Fourth Quarter Barber Shop,Pensacola,FL,,3.5,$
334,Design One Barber Shop,Milton,FL,18504902581.0,2.5,$
335,Supercuts,Gulf Breeze,FL,18509324000.0,2.5,$
336,Supercuts,Pensacola,FL,18503611006.0,1.0,$
340,Farouk's Barbershop,Pensacola,FL,18506027072.0,4.5,$$
341,Bensons Barber Shop,Gulf Breeze,FL,18509325311.0,4.5,$$
343,Blend Zone,Pace,FL,18509950775.0,5.0,$$
345,Ahmad Cutz Barbershop,Pensacola,FL,18504380908.0,5.0,$$
346,Purvis'barber Shop,Cantonment,FL,18509686611.0,5.0,$$
348,Wilfrid's Barber & Fine Goods,Pensacola,FL,18509124200.0,4.5,$$
349,Tattoos & Tapers,Pensacola,FL,18504341343.0,4.0,$$
350,East Hill Barber Shop,Pensacola,FL,18502936051.0,5.0,$$
351,Daisy Cutters Barbershop,Pensacola,FL,18503611200.0,3.0,$$
352,The Man Cave Grooming Company,Milton,FL,18505640182.0,3.5,$$
355,Penton House Hair Studio,Pensacola,FL,18504395554.0,5.0,$$
356,Pilcher's Barber Shop,Pensacola,FL,18504760839.0,4.0,$$
358,Mai's Barber Shop,Anniston,AL,12568206419.0,5.0,$
