Name,Address,Contact,Price
Leafgirl Studio + Organics,"['1019 mound street (River drive)', 'Davenport, IA 52803', 'United States']",{},$$$
Barbershop Market Days PRTY,"['3314 N Halsted St', 'Chicago, IL 60657', 'United States']",{},$$
Steve's Barber Shop,"['456 Fulton St', 'Peoria, IL', 'United States']",{},$
Colleens Hair Salon,"['584 Willey Rd', 'Sanbornville, NH 03872', 'United States']",{},$
Eastown Cafe,"['1499 Wealthy St SE (btwn Wealthy & Sigsbee)', 'Grand Rapids, MI 49506', 'United States']",{},$
Salon Oriana,"['7819 Southtown Dr (494)', 'Bloomington, MN 55431', 'United States']",{},$$
Belknap Plaza Beauty Salon,"['112 Belknap St (In the Belknap Plaza)', 'Superior, WI 54880', 'United States']",{},$$
Chuck's Barbershop,"['90 Low Ave (Eagle Sq)', 'Concord, NH 03301', 'United States']",{},$$$
Bordentown Avenue Deli,"['5 Bordentown Ave', 'Parlin, NJ 08859', 'United States']",{},$
East 6th Street Barber Shop,"['216 E 6th St (btw 2nd Ave & Cooper Sq)', 'New York, NY 10003', 'United States']",{},$
Ace Of Cuts Barber Shop,"['518 E 6th St (btwn Avenue A & B)', 'New York, NY 10009', 'United States']",{},$
Elegant Barber Shop,"['136 E 28th St (On 28th street between Lexington ave. and 3rd ave.)', 'New York, NY 10016', 'United States']",{},$
Liberty Cafe - 43 Street,"['37 W 43rd St (btw 5th & 6th)', 'New York, NY 10036', 'United States']",{},$
VACANCY PROJECT,"['249 E 10th St (1st Ave)', 'New York, NY', 'United States']",{},$
Crawford's Espresso Bar & Cafe,"['1209 Quentin Rd (East 12th St)', 'Brooklyn, NY 11229', 'United States']",{},$
Fellow Barber,"['5 Horatio St (at W 4th St.)', 'New York, NY 10014', 'United States']",{},$$
Yama Hair Salon,"['6 Spring St (Spring)', 'New York, NY 10012', 'United States']",{},$$
Made Man Barbershop,"['170 W 23rd St (7th Ave)', 'New York, NY 10011', 'United States']",{},$$
Blind Barber,"['339 E 10th St (btwn Avenue A & B)', 'New York, NY 10009', 'United States']",{},$$
Charter Coffeehouse,"['309 Graham Ave (Devoe & Ainslie)', 'Brooklyn, NY 11211', 'United States']",{},$$
Rebellations Hair & Beauty Studio,"['44 Hudson Pl (Hudson Street)', 'Hoboken, NJ 07030', 'United States']",{},$$$
Salon de Ning,"['The Peninsula New York, 700 5th Ave, New York (at W 55th St)', 'New York, NY 10019', 'United States']",{},$$$$
